,0
0,0
1,0
2,0
3,0
4,156
5,131
6,159
7,133
8,0
9,0
10,0
11,0
12,156
13,148
14,134
15,166
16,0
17,0
18,0
19,0
20,153
21,160
22,136
23,131
24,0
25,0
26,0
27,0
28,139
29,143
30,149
31,149
32,0
33,0
34,0
35,0
36,159
37,155
38,164
39,145
40,0
41,0
42,0
43,0
44,157
45,142
46,140
47,151
48,0
49,0
50,0
51,0
52,157
53,136
54,166
55,164
56,0
57,0
58,0
59,0
60,153
61,116
62,116
63,120
64,0
65,0
66,0
67,0
68,157
69,145
70,137
71,139
72,0
73,0
74,0
75,0
76,170
77,162
78,156
79,137
80,0
81,0
82,0
83,0
84,133
85,150
86,159
87,147
88,0
89,0
90,0
91,0
92,125
93,155
94,152
95,150
96,0
97,0
98,0
99,0
100,142
101,130
102,153
103,144
104,0
105,0
106,0
107,0
108,149
109,146
110,132
111,149
112,0
113,0
114,0
115,0
116,156
117,150
118,143
119,152
120,0
121,0
122,0
123,0
124,127
125,159
126,134
127,152
128,0
129,0
130,0
131,0
132,154
133,128
134,161
135,166
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,152
145,144
146,160
147,155
148,0
149,0
150,0
151,0
152,147
153,143
154,159
155,168
156,0
157,0
158,0
159,0
160,138
161,147
162,137
163,146
164,0
165,0
166,0
167,0
168,157
169,153
170,134
171,163
172,0
173,0
174,0
175,0
176,141
177,149
178,135
179,141
180,0
181,0
182,0
183,0
184,177
185,144
186,157
187,142
188,0
189,0
190,0
191,0
192,159
193,151
194,153
195,144
196,0
197,0
198,0
199,0
200,145
201,161
202,145
203,136
204,0
205,0
206,0
207,0
208,124
209,141
210,151
211,153
212,0
213,0
214,0
215,0
216,148
217,138
218,153
219,133
220,0
221,0
222,0
223,0
224,155
225,160
226,132
227,144
228,0
229,0
230,0
231,0
232,155
233,144
234,126
235,167
236,0
237,0
238,0
239,0
240,116
241,143
242,164
243,157
244,0
245,0
246,0
247,0
248,151
249,169
250,150
251,166
252,0
253,0
254,0
255,0
256,142
257,163
258,151
259,161
260,0
261,0
262,0
263,0
264,159
265,161
266,148
267,152
268,0
269,0
270,0
271,0
272,135
273,177
274,143
275,0
276,0
277,0
278,0
279,0
