,ks,k_fund
0,1.2265551571231619,1.2495998154452228
1,1.2413453069563567,1.2495998154452228
2,1.2779889385971022,1.2495998154452228
3,1.1963323501377965,1.2495998154452228
4,1.2918672037883112,1.2495998154452228
5,1.2018312427816362,1.2495998154452228
6,1.2411717890011222,1.2495998154452228
7,1.2711487536056612,1.2495998154452228
8,1.2976931764937922,1.2495998154452228
9,1.2779339883523566,1.2495998154452228
10,1.252807632302741,1.2495998154452228
11,1.2879378020237964,1.2495998154452228
12,1.241760176647992,1.2495998154452228
13,1.2971251716674195,1.2495998154452228
14,1.191429935063922,1.2495998154452228
15,1.278758498596893,1.2495998154452228
16,1.2544989502435913,1.2495998154452228
17,1.2635389827372085,1.2495998154452228
18,1.1708951440860211,1.2495998154452228
19,1.2293761086975732,1.2495998154452228
