,Sigma_t_1,Sigma_tr_1,D,Sigma_s-0_1-1,Sigma_s-0_1-2,Sigma_a_1,Sigma_f_1,v_f_1,Chi_1,Sigma_t_2,Sigma_tr_2,D_2,Sigma_s-0_2-2,Sigma_s-0_2-1,Sigma_a_2,Sigma_f_2,v_f_2,Chi_2
U_fuel,0.24963,0.24896,1.338903171,0.22698,0.01102,0.01163,0.00394,2.4695,1,0.80218,0.80026,0.416531294,0.68472,0,0.11746,0.08307,2.4695,0
MOX,0.24864,0.24798,1.344194424,0.22482,0.00886,0.01496,0.004,2.841,1,0.96475,0.96281,0.34620884,0.69359,0,0.27116,0.15596,2.841,0
water,0.26179,0.23823,1.399208048,0.21804,0.02776,0.01599,0,0,0,1.22518,1.10472,0.301735583,1.21063,0,0.01455,0,0,0
control_rod,0.1,0.1,3.333333333,0,0,0.1,0,0,0,1.1,1.1,0.303030303,0.1,0,1,0,0,0
air,0.0002,0.0002,1666.666667,0.0001,0,0.0001,0,0,0,0.0002,0.0002,1666.666667,0.0001,0,0.0001,0,0,0
